Serial No,DS division,District,Estimated headcount index (%),No. of poor people,ADM2_EN,ADM3_EN
184,Addalachchenai,Ampara,10.71,"4,315",Ampara,Addalaichenai
186,Akkaraipattu,Ampara,5.48,"2,143",Ampara,Akkaraipattu
187,Alayadiwembu,Ampara,8.31,"1,857",Ampara,Alayadivembu
176,Ampara,Ampara,4.67,"1,940",Ampara,Ampara
188,Damana,Ampara,7.55,"2,826",Ampara,Damana
172,Dehiattakandiya,Ampara,7.16,"4,174",Ampara,Dehiattakandiya
185,Irakkamam,Ampara,12.18,"1,749",Ampara,Irakkamam
180,Kalmunai,Ampara,4.14,"1,827",Ampara,Kalmunai
179,Kalmunai Tamil Division,Ampara,6.99,"2,063",,
182,Karativu,Ampara,4.62,770,Ampara,Karaitivu
191,Lahugala,Ampara,6.73,584,Ampara,Lahugala
174,Mahaoya,Ampara,15.94,"3,146",Ampara,Mahaoya
177,Navithanveli,Ampara,12.81,"2,389",Ampara,Navithanveli
183,Ninthavur,Ampara,5.03,"1,321",Ampara,Nintavur
173,Padiyathalawa,Ampara,11.93,"2,082",Ampara,Padiyathalawa
190,Pottuvil,Ampara,12.68,"4,379",Ampara,Pottuvil
181,Sainthamarathu,Ampara,3.16,800,Ampara,Sainthamaruthu
178,Sammanthurai,Ampara,12.49,"7,462",Ampara,Sammanthurai
189,Thirukkovil,Ampara,10.56,"2,659",Ampara,Tirukkovil
175,Uhana,Ampara,6.29,"3,546",Ampara,Uhana
258,Mihintale,Anuradapura,5.68,"1,810",Anuradhapura,Mihinthale
257,Galenbidunuwawa,Anuradhapura,6.66,"2,997",Anuradhapura,Galenbidunuwewa
269,Galnewa,Anuradhapura,6.58,"2,215",Anuradhapura,Galnewa
256,Horowpothana,Anuradhapura,10.01,"3,536",Anuradhapura,Horowpathana
268,Ipalogama,Anuradhapura,5.54,"2,072",Anuradhapura,Ipalogama
255,Kahatagasdigiliya,Anuradhapura,8.97,"3,457",Anuradhapura,Kahatagasdigiliya
250,Kebithigollewa,Anuradhapura,10.2,"2,167",Anuradhapura,Kebithigollewa
266,Kekirawa,Anuradhapura,5.98,"3,433",Anuradhapura,Kekirawa
252,Mahavillachchiya,Anuradhapura,9.79,"2,109",Anuradhapura,Mahawilachchiya
251,Medawachchiya,Anuradhapura,8.08,"3,599",Anuradhapura,Medawachchiya
260,Nachchadoowa,Anuradhapura,6.1,"1,515",Anuradhapura,Nachchaduwa
261,Nochchiyagama,Anuradhapura,6.45,"3,089",Anuradhapura,Nochchiyagama
253,Nuwaragam Palatha Central,Anuradhapura,6.19,"3,595",Anuradhapura,Nuwaragam Palatha Central
259,Nuwaragam Palatha East,Anuradhapura,1.96,"1,290",Anuradhapura,Nuwaragam Palatha East
249,Padaviya,Anuradhapura,8.4,"1,848",Anuradhapura,Padaviya
270,Palagala,Anuradhapura,7.58,"2,504",Anuradhapura,Palagala
267,Palugaswewa,Anuradhapura,8.08,"1,203",Anuradhapura,Palugaswewa
262,Rajanganaya,Anuradhapura,5.69,"1,860",Anuradhapura,Rajanganaya
254,Rambewa,Anuradhapura,8.56,"3,017",Anuradhapura,Rambewa
264,Thalawa,Anuradhapura,6.35,"3,546",Anuradhapura,Thalawa
263,Thambuttegama,Anuradhapura,7.38,"3,042",Anuradhapura,Thambuththegama
265,Thirappane,Anuradhapura,8.11,"2,105",Anuradhapura,Thirappane
285,Badulla,Badulla,4.89,"3,507",Badulla,Badulla
289,Bandarawela,Badulla,5.99,"3,810",Badulla,Bandarawela
290,Ella,Badulla,9.94,"4,401",Badulla,Ella
292,Haldummulla,Badulla,11.61,"4,276",Badulla,Haldummulla
286,Hali Ela,Badulla,8.91,"7,915",Badulla,Hali-Ela
291,Haputhale,Badulla,8.66,"4,121",Badulla,Haputale
281,Kandaketiya,Badulla,13.19,"2,955",Badulla,Kandeketiya
284,Lunugala,Badulla,14.6,"4,519",Badulla,Lunugala
278,Mahiyanganaya,Badulla,10.56,"7,765",Badulla,Mahiyanganaya
280,Meegahakivula,Badulla,14.77,"2,826",Badulla,Meegahakiula
283,Passara,Badulla,10.67,"5,087",Badulla,Passara
279,Rideemaliyadda,Badulla,14.73,"7,361",Badulla,Rideemaliyadda
282,Soranathota,Badulla,10.81,"2,355",Badulla,Soranathota
287,Uva Paranagama,Badulla,9.01,"6,868",Badulla,Uvaparanagama
288,Welimada,Badulla,7.72,"7,598",,
163,Eravur Pattu,Batticoloa,24.69,"18,242",Batticaloa,Eravur Pattu
164,Eravur Town,Batticoloa,10.99,"2,664",Batticaloa,Eravur Town
167,Kattankudy,Batticoloa,5.26,"2,101",Batticaloa,Kattankudy
161,Koralai Pattu (Valachchenai),Batticoloa,18.42,"4,244",Batticaloa,Koralai Pattu
159,Koralai Pattu Central,Batticoloa,10.99,"2,761",Batticaloa,Koralai Pattu Central
158,Koralai Pattu North (Vaharai),Batticoloa,27.99,"5,950",Batticaloa,Koralai Pattu North
162,Koralai Pattu South (Kiran),Batticoloa,37.68,"9,811",Batticaloa,Koralai Pattu South
160,Koralai Pattu West (Oddamavadi),Batticoloa,7.73,"1,703",Batticaloa,Koralai Pattu West
165,Manmunai North,Batticoloa,8.06,"6,705",Batticaloa,Manmunai North
168,Manmunai Pattu (Araipattai),Batticoloa,13.98,"4,244",Batticaloa,Manmunai Pattu
171,Manmunai South & Eruvil Pattu,Batticoloa,13.94,"8,429",Batticaloa,Manmunai South & Eruvil Pattu
169,Manmunai South-West,Batticoloa,28.93,"7,090",Batticaloa,Manmunai South West
166,Manmunai West,Batticoloa,45.14,"12,776",Batticaloa,Manmunai West
170,Porativu Pattu,Batticoloa,25.84,"9,323",Batticaloa,Porativu Pattu
1,Colombo,Colombo,3.97,"12,378",Colombo,Colombo
10,Dehiwala,Colombo,0.62,533,Colombo,Dehiwala
4,Homagama,Colombo,2.75,"6,335",Colombo,Homagama
3,Kaduwela,Colombo,1.93,"4,733",Colombo,Kaduwela
13,Kesbewa,Colombo,1.85,"4,390",Colombo,Kesbewa
2,Kolonnawa,Colombo,2.92,"5,455",Colombo,Kolonnawa
7,Maharagama,Colombo,1.09,"2,035",Colombo,Maharagama
12,Moratuwa,Colombo,3.68,"5,979",Colombo,Moratuwa
6,Padukka,Colombo,4.53,"2,893",Colombo,Padukka
11,Rathmalana,Colombo,1.57,"1,439",Colombo,Ratmalana
5,Seethawake,Colombo,5.21,"5,740",Colombo,Seethawaka
8,Sri Jayawardanapura Kotte,Colombo,1.2,"1,224",Colombo,Sri Jayawardanapura Kotte
9,Thimbirigasyaya,Colombo,1.29,"2,766",Colombo,Thimbirigasyaya
92,Akmeemana,Galle,8.83,"6,727",Galle,Akmeemana
87,Ambalangoda,Galle,6.3,"3,528",Galle,Ambalangoda
85,Baddegama,Galle,8.99,"6,590",Galle,Baddegama
78,Balapitiya,Galle,8.7,"5,736",Galle,Balapitiya
77,Bentota,Galle,9.28,"4,519",Galle,Bentota
91,Bope-Poddala,Galle,6.55,"3,174",Galle,Bope-Poddala
80,Elpitiya,Galle,8.64,"5,444",Galle,Elpitiya
90,Galle Four Gravets,Galle,5.74,"5,639",Galle,Galle4Gravets
88,Gonapeenuwala,Galle,7.71,"1,638",Galle,Gonapinuwala
95,Habaraduwa,Galle,9.01,"5,450",Galle,Habaraduwa
89,Hikkaduwa,Galle,7.9,"7,798",Galle,Hikkaduwa
94,Imaduwa,Galle,10.31,"4,550",Galle,Imaduwa
79,Karandeniya,Galle,10.06,"6,183",Galle,Karandeniya
84,Nagoda,Galle,9.6,"5,071",Galle,Nagoda
83,Neluwa,Galle,11.3,"3,168",Galle,Neluwa
81,Niyagama,Galle,9.86,"3,422",Galle,Niyagama
82,Thawalama,Galle,11.87,"3,801",Galle,Thawalama
86,Welivitiya-Divithura,Galle,10.25,"2,941",,
93,Yakkalamulla,Galle,11.37,"5,148",,
22,Attanagalla,Gampaha,4.63,"8,085",Gampaha,Attanagalla
26,Biyagama,Gampaha,3.33,"6,068",Gampaha,Biyagama
16,Divulapitiya,Gampaha,6.09,"8,649",Gampaha,Divulapitiya
23,Dompe,Gampaha,5.51,"8,321",Gampaha,Dompe
21,Gampaha,Gampaha,2.86,"5,562",Gampaha,Gampaha
20,Ja-Ela,Gampaha,3.08,"6,072",Gampaha,Ja Ela
15,Katana,Gampaha,4.07,"9,288",Gampaha,Katana
25,Kelaniya,Gampaha,2.16,"2,822",Gampaha,Kelaniya
24,Mahara,Gampaha,3.7,"7,507",Gampaha,Mahara
18,Minuwangoda,Gampaha,4.85,"8,508",Gampaha,Minuwangoda
17,Mirigama,Gampaha,6,"9,591",Gampaha,Mirigama
14,Negombo,Gampaha,1.66,"2,305",Gampaha,Negombo
19,Wattala,Gampaha,2.68,"4,567",Gampaha,Wattala
116,Ambalantota,Hambantota,5.31,"3,775",Hambantota,Ambalantota
117,Angunukolapelessa,Hambantota,6.01,"2,860",Hambantota,Angunakolapelessa
122,Beliatta,Hambantota,4.97,"2,726",Hambantota,Beliatta
115,Hambantota,Hambantota,5.35,"2,991",Hambantota,Hambantota
119,Katuwana,Hambantota,7.2,"3,296",Hambantota,Katuwana
113,Lunugamvehera,Hambantota,6.82,"2,086",Hambantota,Lunugamwehera
121,Okewela,Hambantota,6.69,"1,243",Hambantota,Okewela
112,Sooriyawewa,Hambantota,8.13,"3,429",Hambantota,Sooriyawewa
123,Tangalle,Hambantota,3.71,"2,627",Hambantota,Tangalle
114,Tissamaharama,Hambantota,5.03,"3,347",Hambantota,Thissamaharama
120,Walasmulla,Hambantota,6.49,"2,695",Hambantota,Walasmulla
118,Weeraketiya,Hambantota,5.82,"2,371",Hambantota,Weeraketiya
138,Delft,Jaffna,13.47,508,Jaffna,Delft
124,Island North (Kayts),Jaffna,15.25,"1,476",Jaffna,Islands North (Kayts)
137,Island South (Velanai),Jaffna,16.75,"2,803",Jaffna,Islands South (Velanai)
136,Jaffna,Jaffna,6.58,"3,234",Jaffna,Jaffna
125,Karainagar,Jaffna,14.42,"1,379",Jaffna,Karainagar
135,Nallur,Jaffna,7.33,"4,914",Jaffna,Nallur
134,Thenmarachchi (Chavakachcheri),Jaffna,11.51,"7,391",Jaffna,Thenmaradchi (Chavakachcheri)
132,Vadamarachchi East,Jaffna,16.37,"2,077",Jaffna,Vadamaradchchi East
133,Vadamarachchi North (Pointpedro),Jaffna,9.13,"4,317",Jaffna,Vadamaradchi North (Point Pedro)
131,Vadamarachchi South-west (Karaveddy ),Jaffna,12.35,"5,635",Jaffna,Vadamaradchchi South-West (Karaveddy)
130,Valikamam East (Kopay),Jaffna,13.18,"9,528",Jaffna,Valikamam East (Kopay)
128,Valikamam North,Jaffna,13.45,"3,895",Jaffna,Valikamam North (Thllippalai)
