adm3_en,adm2_en,num_map_tank,num_tank,asc_map_dad,asc_dad,asc_func,asc_damaged,asc_nonfunc,asc_pop,asc_fam,asc_pop_func,asc_pop_damaged,asc_pop_nonfunc,asc_fam_func,asc_fam_damaged,asc_cas,asc_tank_irri,asc_tank_agri,asc_tank_agri_day,asc_tank_agri_com,asc_tank_agri_day_com,asc_reno,asc_breached,asc_needreno,asc_good,asc_bundreha,asc_sluice,asc_sluice2,asc_spill,asc_spill2,asc_length1,asc_length2,asc_length3,asc_length4,asc_length5
,,7,7,,73.469391,8.1632652,18.367348,91.836739,1342,747,2.6612732,31.935278,97.33873,1.338688,37.865749,0,2.0408163,4.0816326,4.0816326,0,0,18.367348,0,18.367348,32.653061,0,18.367348,2.0408163,18.367348,0,0.081632659,0.18367347,0,0.081632659,0
,,8,6,76.5625,100,2.7777777,44.444443,97.222221,125,108,0,66.666664,100,0,41.975307,0,5.5555553,8.333333,2.7777777,2.7777777,2.7777777,0,44.444443,100,0,,11.111111,0,25,2.7777777,0.75,0,0,0.083333336,0
Addalaichenai,Ampara,2,0,25,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Akkaraipattu,Ampara,3,1,100,100,100,0,0,30,30,100,0,0,100,0,0,0,100,0,0,0,0,100,100,0,,100,0,100,0,1.3333334,0,0.33333334,0,0
Alayadivembu,Ampara,4,3,100,100,11.111111,0,88.888893,0,22,,,,33.333332,0,0,22.222221,22.222221,0,0,11.111111,11.111111,100,100,0,0,11.111111,11.111111,100,11.111111,0.083333336,0,0.083333336,0.33333334,0
Ampara,Ampara,10,1,100,100,100,0,0,0,0,,,,,,100,100,100,0,0,0,0,0,100,0,,100,0,100,0,8.1000004,0,0.1,0,0
Damana,Ampara,51,6,9.8423681,44.444443,69.444443,2.7777777,30.555553,476,163,70.378151,2.5910366,29.621849,42.43354,8.1799593,2.7777777,5.5555553,5.5555553,8.333333,0,2.7777777,44.444443,0,100,2.7777777,0,69.444443,2.7777777,69.444443,0,6.6176472,0,0.003267974,0.052287582,0.003267974
Dehiattakandiya,Ampara,30,1,64,100,100,0,0,1170,234,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,,0,0,100,0,28.033333,0,0,0.033333335,0
Irakkamam,Ampara,5,3,100,100,44.444443,11.111111,55.555557,185,205,57.657658,4.5045047,42.342342,52.03252,7.3170733,0,0,22.222221,0,0,11.111111,100,0,100,44.444443,0,100,44.444443,100,0,0.60000002,0,0.06666667,0.06666667,0
Kalmunai,Ampara,9,4,79.012344,100,25,25,75,273,107,8.2417583,41.758244,91.75824,34.112148,15.887851,0,25,25,0,0,0,0,100,100,0,,56.25,6.25,56.25,0,0.69444442,0.027777778,0.027777778,0.11111111,0
Lahugala,Ampara,123,31,5.1821003,45.889698,41.62331,8.4287205,58.37669,204,1092,55.344719,4.1271348,44.655281,38.284298,10.475009,0.10405827,1.8730489,2.6014569,0.10405827,0,0,5.098855,10.405828,50.364204,3.746098,0,30.072842,2.6014569,50.364204,0,2.3173354,0.004196171,0.031733543,0.021243116,0.006556517
Mahaoya,Ampara,71,30,53.640148,93.444443,11.111111,4,88.888893,4608,527,16.912615,0.84635419,83.087387,16.445288,0.94876659,0,0,0.33333331,0.33333331,0.11111111,1,4,32.111111,64,1.7777778,0,7.1111112,0.44444445,25,0,0.95070422,0.023004696,0.092018783,0.007511737,0.000469484
Navithanveli,Ampara,2,2,100,100,100,0,0,0,133,,,,100,0,0,0,50,0,0,0,0,100,100,0,,100,0,100,0,0,0,0,1,0
Padiyathalawa,Ampara,52,30,40.27367,53.777779,36,7.1111112,64,609,580,33.793102,11.64751,66.206894,24,14.988506,0,2,2.4444444,0.11111111,0,0,4,18.777777,69.444443,4,0,40.111111,0.11111111,64,0.11111111,0.74102563,0.051923078,0.031410258,0.002564103,0
Pottuvil,Ampara,80,58,34.515625,40.695599,20.095125,25,79.904877,223,1116,44.827587,0,55.172413,23.900011,23.342295,0,0.17835909,1.6349584,0,0.029726516,0.029726516,2.9726515,34.363853,65.665878,2.9726515,0,28.567183,1.9024971,47.562424,0.029726516,0.16896552,0.021551725,0.14568965,0.031034485,0.003448276
Sammanthurai,Ampara,1,0,100,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
